epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,849.23,1.165,1.80082,1.3147,0.63772,0.49245,0.45341,0.25837,1.34909,2.42159,1.59277,0.00043342,0.00043342,0.00043342
2,1660.32,1.20333,1.2203,1.31871,0.35306,0.44872,0.33926,0.11574,2.59143,3.65805,3.53804,0.000848523,0.000848523,0.000848523
